row_id,centroid_date,split
0,1980-01-01,train
1,1980-01-01,train
2,1980-01-02,train
3,1980-01-02,train
4,1980-01-04,train
5,1980-01-04,train
6,1980-01-04,train
7,1980-01-04,train
8,1980-01-04,train
9,1980-01-04,train
10,1980-01-04,train
11,1980-01-04,train
12,1980-01-04,train
13,1980-01-04,train
14,1980-01-04,train
15,1980-01-04,train
16,1980-01-04,train
17,1980-01-04,train
18,1980-01-04,train
19,1980-01-04,train
20,1980-01-05,train
21,1980-01-05,train
22,1980-01-05,train
23,1980-01-05,train
24,1980-01-05,train
25,1980-01-05,train
26,1980-01-05,train
27,1980-01-05,train
28,1980-01-05,train
29,1980-01-05,train
30,1980-01-05,train
31,1980-01-05,train
32,1980-01-05,train
33,1980-01-05,train
34,1980-01-05,train
35,1980-01-05,train
36,1980-01-05,train
37,1980-01-05,train
38,1980-01-06,train
39,1980-01-06,train
40,1980-01-06,train
41,1980-01-06,train
42,1980-01-06,train
43,1980-01-06,train
44,1980-01-06,train
45,1980-01-06,train
46,1980-01-06,train
47,1980-01-06,train
48,1980-01-06,train
49,1980-01-06,train
50,1980-01-06,train
51,1980-01-06,train
52,1980-01-06,train
53,1980-01-06,train
54,1980-01-06,train
55,1980-01-06,train
56,1980-01-06,train
57,1980-01-06,train
58,1980-01-06,train
59,1980-01-06,train
60,1980-01-06,train
61,1980-01-06,train
62,1980-01-06,train
63,1980-01-06,train
64,1980-01-06,train
65,1980-01-06,train
66,1980-01-06,train
67,1980-01-06,train
68,1980-01-06,train
69,1980-01-06,train
70,1980-01-06,train
71,1980-01-06,train
72,1980-01-06,train
73,1980-01-06,train
74,1980-01-06,train
75,1980-01-06,train
76,1980-01-06,train
77,1980-01-06,train
78,1980-01-06,train
79,1980-01-06,train
80,1980-01-06,train
81,1980-01-06,train
82,1980-01-06,train
83,1980-01-06,train
84,1980-01-06,train
85,1980-01-06,train
86,1980-01-06,train
87,1980-01-06,train
88,1980-01-06,train
89,1980-01-06,train
90,1980-01-06,train
91,1980-01-06,train
92,1980-01-06,train
93,1980-01-06,train
94,1980-01-06,train
95,1980-01-06,train
96,1980-01-06,train
97,1980-01-06,train
98,1980-01-06,train
99,1980-01-06,train
100,1980-01-06,train
101,1980-01-07,train
102,1980-01-07,train
103,1980-01-07,train
104,1980-01-07,train
105,1980-01-07,train
106,1980-01-07,train
107,1980-01-07,train
108,1980-01-07,train
109,1980-01-07,train
110,1980-01-07,train
111,1980-01-07,train
112,1980-01-07,train
113,1980-01-07,train
114,1980-01-07,train
115,1980-01-07,train
116,1980-01-07,train
117,1980-01-07,train
118,1980-01-07,train
119,1980-01-07,train
120,1980-01-07,train
121,1980-01-07,train
122,1980-01-07,train
123,1980-01-08,train
124,1980-01-08,train
125,1980-01-08,train
126,1980-01-08,train
127,1980-01-08,train
128,1980-01-08,train
129,1980-01-08,train
130,1980-01-08,train
131,1980-01-08,train
132,1980-01-08,train
133,1980-01-08,train
134,1980-01-08,train
135,1980-01-08,train
136,1980-01-08,train
137,1980-01-08,train
138,1980-01-08,train
139,1980-01-08,train
140,1980-01-08,train
141,1980-01-08,train
142,1980-01-08,train
143,1980-01-08,train
144,1980-01-08,train
145,1980-01-08,train
146,1980-01-08,train
147,1980-01-08,train
148,1980-01-08,train
149,1980-01-08,train
150,1980-01-09,train
151,1980-01-09,train
152,1980-01-09,train
153,1980-01-09,train
154,1980-01-09,train
155,1980-01-09,train
156,1980-01-09,train
157,1980-01-09,train
158,1980-01-09,train
159,1980-01-09,train
160,1980-01-09,train
161,1980-01-09,train
162,1980-01-09,train
163,1980-01-09,train
164,1980-01-09,train
165,1980-01-09,train
166,1980-01-09,train
167,1980-01-09,train
168,1980-01-09,train
169,1980-01-09,train
170,1980-01-09,train
171,1980-01-09,train
172,1980-01-09,train
173,1980-01-09,train
174,1980-01-09,train
175,1980-01-09,train
176,1980-01-09,train
177,1980-01-09,train
178,1980-01-09,train
179,1980-01-09,train
180,1980-01-09,train
181,1980-01-09,train
182,1980-01-09,train
183,1980-01-10,train
184,1980-01-10,train
185,1980-01-10,train
186,1980-01-10,train
187,1980-01-10,train
188,1980-01-10,train
189,1980-01-10,train
190,1980-01-10,train
191,1980-01-11,train
192,1980-01-11,train
193,1980-01-11,train
194,1980-01-11,train
195,1980-01-11,train
