row_id,split,high_risk,predicted,predicted_probability,error_type,nerc_id,source_file,lowest_temperature_k,duration_days,spatial_coverage,yearly_max_heat_wave_intensity,yearly_max_heat_wave_duration,yearly_max_heat_wave_intensity_trend,yearly_max_heat_wave_duration_trend
138935,test,1,0,0.09939342,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_pop\heat_wave_library_NERC_average_pop_def10_cleaned.csv,,7,19.672131147541,315.342951455323,25,1.1684787864779764,6.0
138937,test,1,0,0.19922005,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_pop\heat_wave_library_NERC_average_pop_def10_cleaned.csv,,8,35.8208955223881,315.342951455323,25,1.1684787864779764,6.0
138938,test,1,0,0.17296807,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average\heat_wave_library_NERC_average_def10_cleaned.csv,,9,44.7761194029851,315.430625,28,3.183187500000031,8.0
138955,test,1,0,0.18857914,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_area\heat_wave_library_NERC_average_area_def10_cleaned.csv,,8,46.2686567164179,315.481252484713,26,3.0377060862780354,5.0
138969,test,1,0,0.025812032,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average\heat_wave_library_NERC_average_def11_cleaned.csv,,46,13.1147540983607,315.430625,76,2.965199468085018,-13.0
138971,test,1,0,0.124663904,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_pop\heat_wave_library_NERC_average_pop_def10_cleaned.csv,,12,42.6666666666667,315.342951455323,25,1.1684787864779764,6.0
138972,test,1,0,0.35443282,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_pop\heat_wave_library_NERC_average_pop_def9_cleaned.csv,,13,96.0,315.778331468527,39,-0.1594681863209643,13.0
138978,test,1,0,0.052462623,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average\heat_wave_library_NERC_average_def9_cleaned.csv,,29,96.4444444444445,315.430625,29,2.965199468085018,0.0
138979,test,1,0,0.27364677,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_area\heat_wave_library_NERC_average_area_def10_cleaned.csv,,6,42.6666666666667,315.481252484713,26,3.0377060862780354,5.0
138982,test,1,0,0.27364677,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average\heat_wave_library_NERC_average_def10_cleaned.csv,,6,40.8888888888889,315.430625,28,3.183187500000031,8.0
138985,test,1,0,0.10183416,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_area\heat_wave_library_NERC_average_area_def1_cleaned.csv,,30,95.1111111111111,315.481252484713,39,3.0377060862780354,11.0
138986,test,1,0,0.052462623,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_area\heat_wave_library_NERC_average_area_def9_cleaned.csv,,29,96.8888888888889,315.481252484713,29,3.0377060862780354,0.0
138990,test,1,0,0.10183416,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average\heat_wave_library_NERC_average_def1_cleaned.csv,,30,95.1111111111111,315.430625,39,3.183187500000031,17.0
138992,test,1,0,0.031785276,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average\heat_wave_library_NERC_average_def11_cleaned.csv,,74,21.0526315789474,315.430625,76,2.965199468085018,-13.0
138993,test,1,0,0.031785276,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_area\heat_wave_library_NERC_average_area_def11_cleaned.csv,,74,22.8070175438597,315.481252484713,75,3.0377060862780354,-14.0
139009,test,1,0,0.43556756,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_pop\heat_wave_library_NERC_average_pop_def11_cleaned.csv,,17,52.3255813953488,315.778331468527,76,-0.1594681863209643,-11.0
139036,test,1,0,0.47627085,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_area\heat_wave_library_NERC_average_area_def7_cleaned.csv,,14,69.1275167785235,315.481252484713,72,3.0377060862780354,-15.0
139037,test,1,0,0.139364,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_area\heat_wave_library_NERC_average_area_def7_cleaned.csv,,13,12.5,315.481252484713,72,3.0377060862780354,-15.0
139038,test,1,0,0.37702158,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_area\heat_wave_library_NERC_average_area_def7_cleaned.csv,,18,55.7539682539683,315.481252484713,72,3.0377060862780354,-15.0
139040,test,1,0,0.0825265,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_area\heat_wave_library_NERC_average_area_def11_cleaned.csv,,34,32.7380952380952,315.481252484713,75,3.0377060862780354,-14.0
139041,test,1,0,0.37702158,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average\heat_wave_library_NERC_average_def7_cleaned.csv,,18,49.0079365079365,315.430625,72,2.965199468085018,-15.0
139053,test,1,0,0.049532343,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_pop\heat_wave_library_NERC_average_pop_def7_cleaned.csv,,23,11.3924050632911,315.778331468527,76,-0.1594681863209643,-12.0
139054,test,1,0,0.39553255,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_pop\heat_wave_library_NERC_average_pop_def7_cleaned.csv,,19,49.2063492063492,315.778331468527,76,-0.1594681863209643,-12.0
139055,test,1,0,0.49577668,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_pop\heat_wave_library_NERC_average_pop_def7_cleaned.csv,,14,69.1275167785235,315.778331468527,76,-0.1594681863209643,-12.0
139058,test,1,0,0.43556756,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_pop\heat_wave_library_NERC_average_pop_def11_cleaned.csv,,17,51.6877637130802,315.778331468527,76,-0.1594681863209643,-11.0
139059,test,1,0,0.12819827,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_pop\heat_wave_library_NERC_average_pop_def11_cleaned.csv,,34,39.2857142857143,315.778331468527,76,-0.1594681863209643,-11.0
139064,test,1,0,0.09395293,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average\heat_wave_library_NERC_average_def7_cleaned.csv,,18,9.375,315.430625,72,2.965199468085018,-15.0
139065,test,1,0,0.47627085,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average\heat_wave_library_NERC_average_def7_cleaned.csv,,14,72.4832214765101,315.430625,72,2.965199468085018,-15.0
139079,test,1,0,0.06782685,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average\heat_wave_library_NERC_average_def11_cleaned.csv,,34,30.3571428571429,315.430625,76,2.965199468085018,-13.0
139086,test,1,0,0.30224642,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_pop\heat_wave_library_NERC_average_pop_def9_cleaned.csv,,19,100.0,315.778331468527,39,-0.1594681863209643,13.0
139087,test,1,0,0.025812032,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_pop\heat_wave_library_NERC_average_pop_def11_cleaned.csv,,35,8.19672131147541,315.778331468527,76,-0.1594681863209643,-11.0
139091,test,1,0,0.17296807,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average\heat_wave_library_NERC_average_def10_cleaned.csv,,9,37.7049180327869,315.430625,28,3.183187500000031,8.0
139097,test,1,0,0.30224642,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_area\heat_wave_library_NERC_average_area_def1_cleaned.csv,,19,100.0,315.481252484713,39,3.0377060862780354,11.0
139098,test,1,0,0.30224642,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average\heat_wave_library_NERC_average_def1_cleaned.csv,,19,100.0,315.430625,39,3.183187500000031,17.0
139105,test,1,0,0.10019437,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average\heat_wave_library_NERC_average_def10_cleaned.csv,,15,46.2686567164179,315.430625,28,3.183187500000031,8.0
139109,test,1,0,0.17296807,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_area\heat_wave_library_NERC_average_area_def10_cleaned.csv,,9,37.7049180327869,315.481252484713,26,3.0377060862780354,5.0
139110,test,1,0,0.10019437,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_area\heat_wave_library_NERC_average_area_def10_cleaned.csv,,15,44.7761194029851,315.481252484713,26,3.0377060862780354,5.0
139126,test,1,0,0.06540928,false_negative,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_pop\heat_wave_library_NERC_average_pop_def10_cleaned.csv,,11,13.1147540983607,315.342951455323,25,1.1684787864779764,6.0
