row_id,split,high_risk,predicted,predicted_probability,error_type,nerc_id,source_file,lowest_temperature_k,duration_days,spatial_coverage,yearly_max_heat_wave_intensity,yearly_max_heat_wave_duration,yearly_max_heat_wave_intensity_trend,yearly_max_heat_wave_duration_trend
157516,test,0,1,0.76886505,false_positive,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_pop\heat_wave_library_NERC_average_pop_def9_cleaned.csv,,4,100.0,317.199696761871,36,3.060017091885016,-7.0
157674,test,0,1,0.76886505,false_positive,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_pop\heat_wave_library_NERC_average_pop_def9_cleaned.csv,,2,90.6040268456376,317.199696761871,36,3.060017091885016,-7.0
157816,test,0,1,0.76886505,false_positive,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_pop\heat_wave_library_NERC_average_pop_def9_cleaned.csv,,4,92.1487603305785,317.199696761871,36,3.060017091885016,-7.0
158247,test,0,1,0.7268182,false_positive,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_pop\heat_wave_library_NERC_average_pop_def9_cleaned.csv,,5,99.1735537190083,317.199696761871,36,3.060017091885016,-7.0
158262,test,0,1,0.76886505,false_positive,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_pop\heat_wave_library_NERC_average_pop_def9_cleaned.csv,,4,97.9338842975207,317.199696761871,36,3.060017091885016,-7.0
158380,test,0,1,0.76886505,false_positive,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_pop\heat_wave_library_NERC_average_pop_def9_cleaned.csv,,4,93.4426229508197,317.199696761871,36,3.060017091885016,-7.0
159334,test,0,1,0.76886505,false_positive,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_pop\heat_wave_library_NERC_average_pop_def9_cleaned.csv,,4,96.031746031746,317.199696761871,36,3.060017091885016,-7.0
160642,test,0,1,0.7573067,false_positive,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average\heat_wave_library_NERC_average_def1_cleaned.csv,,2,45.9016393442623,313.717446808511,43,-2.887178191489,-27.0
160655,test,0,1,0.7573067,false_positive,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average\heat_wave_library_NERC_average_def1_cleaned.csv,,4,59.6491228070175,313.717446808511,43,-2.887178191489,-27.0
160657,test,0,1,0.7573067,false_positive,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average_area\heat_wave_library_NERC_average_area_def1_cleaned.csv,,4,61.4035087719298,313.624846280054,37,-2.969423762381041,-17.0
160676,test,0,1,0.7573067,false_positive,NERC,Data\cleaned_with_features\csv\heat_wave_library_NERC_average\heat_wave_library_NERC_average_def1_cleaned.csv,,2,68.0851063829787,313.717446808511,43,-2.887178191489,-27.0
